What is the primary definition of computer software?,"A set of instructions, data, or programs used to operate computers and execute specific tasks."
What is the main design goal of high-level computer languages?,"To be user-friendly, allowing programmers to write code quickly and easily."
Category: Procedural Language,Definition: A third-generation language where instructions are organised into sequences of named procedures.
List examples of 'Procedural Languages'.,"C, Fortran, Pascal, and BASIC."
What is the fundamental concept of a 'Functional Language'?,"It revolves around mathematical functions, treating them as variables, arguments, or return values."
List examples of 'Functional Languages'.,LISP and Haskell.
Term: Object-oriented programming (OOP) language,Definition: A language where development revolves around creating and interacting with 'objects' containing code and data.
List examples of 'Object-oriented programming languages'.,"C++, Java, Ruby, and Python."
What is the primary use of 'Scripting Languages'?,Automating repetitive tasks and creating dynamic web pages.
Why do developers often prefer 'interpreted' scripting languages for prototyping?,"Because they do not require compilation before execution, allowing for quick testing."
List examples of 'Scripting Languages'.,"JavaScript, Python, Shell, and Perl."
Term: Markup Language,"Definition: Languages used to format text for display on the web or in documents, such as HTML and XML."
What is the purpose of a 'Query Language'?,"To retrieve and manipulate data stored within databases, with SQL being a primary example."
Term: Domain-Specific Language (DSL),Definition: A language tailored to the needs of a particular application or domain to simplify specific programming tasks.
List examples of 'Domain-Specific Languages'.,MATLAB and R.
The hierarchy of software shows System Software is divided into System Management and _____.,Software Development
"According to the software hierarchy chart, which category do 'Linkers and Loaders' fall under?",Software Development (System Software)
"In the application software hierarchy, 'Image and Video Editor' is classified as _____.",General Purpose Software
"According to the source, 'Accounting Software' is an example of which application sub-type?",Special Purpose Software
Which software characteristic refers to the ability to run consistently under different user inputs?,Reliability
Which system software function involves creating and terminating processes?,Process Management
What kind of application is 'Customer Management' categorized as in the provided chart?,Special Purpose Software
"Programming languages are broadly categorised into Low-level, High-level, and _____ languages.",Specialized
Assembly language is often referred to as a _____-generation language.,second
Procedural languages are considered to be _____-generation languages.,third
What is the specific purpose of 'NASM' in the language hierarchy?,It is an example of an Assembly Language.
Which language category includes SQL and SPARQL?,Query Language
Which language category includes HTML and XML?,Markup Language
Which specialized language type is used specifically for mathematical computing and statistics?,"Domain Specific Language (e.g. MATLAB, R)"
What software benefit relates to 'artistic expression'?,Enhanced creativity via creative application software.
System software acts as an intermediary between hardware and _____ software.,application
The OS manages program execution by loading them into _____ and scheduling their execution.,memory
What OS type is Red Hat Enterprise Linux?,Server Operating System
Software used for 'Inventory Management' belongs to which category?,Special Purpose Application Software
Which high-level language type uses 'modules' and 'data structures' as its basis?,Object-oriented programming language
What is the role of 'Shell' in programming?,It is an example of a Scripting Language.
