"In client-server communication, which entity initiates the request?","The client, typically a web browser running on a user's device, initiates communication."
Which HTML event is triggered when a user submits a form?,The `onsubmit` event is triggered.
What is the difference between the `onkeydown` and `onkeyup` events?,"The `onkeydown` event occurs when a key is pressed, while `onkeyup` occurs when the key is released."
Which modern JavaScript method is recommended for attaching events to elements without using inline HTML?,The `addEventListener()` method is the recommended modern approach.
What are the three main types of control structures in JavaScript?,"They are conditional (decision-making), looping (iteration), and jump (branching) structures."
Which JavaScript loop is used specifically to iterate through the properties of an object?,The `for...in` loop is used for iterating through object properties.
How can a cookie be deleted using JavaScript?,A cookie is deleted by re-assigning it with an expiry date set in the past.
What is the primary purpose of using CSS with HTML?,"CSS is used to separate content from presentation, allowing control over the design and layout of web pages."
How does HTTPS ensure data integrity during transmission?,It uses encryption to ensure that data cannot be altered by attackers while moving between the browser and server.
What is the role of a Certificate Authority (CA) in the HTTPS process?,A CA issues and verifies the digital SSL certificates that confirm a website's identity.
What is the 'phonebook' of the internet that translates domain names into IP addresses?,The Domain Name System (DNS) performs this translation.
Why are domain names used instead of IP addresses for accessing websites?,"Domain names are easy for humans to remember, whereas IP addresses are long numeric strings."
What are the three layers typically found in a 3-Tier architecture?,"The three layers are the Presentation Tier (UI), the Application Tier (Logic), and the Data Tier (Database)."
What defines an n-Tier architecture compared to a standard 3-Tier model?,"It is an extension that divides the application into multiple layers, such as separate service and data access layers."
What is the first step in establishing an online presence for a business?,"The first step is domain registration, which involves reserving a unique domain name."
Which HTML tag is used to define a standard data cell within a table row?,The `<td>` (Table Data) tag is used.
What is the difference between the `<th>` and `<td>` tags in an HTML table?,"The `<th>` tag is used for header cells (bold and centred), while `<td>` is used for standard data cells."
Why is tableless design preferred over table-based design in modern web development?,"Tableless design uses CSS for layout, which results in faster loading, better accessibility, and easier responsive design."
What are the three ways to embed CSS into an HTML document?,"The three ways are inline CSS, internal CSS (within a `<style>` tag), and external CSS (using a `.css` file)."
Which CSS color mechanism allows for the control of transparency (opacity)?,"The RGBA mechanism, which includes an 'alpha' value, allows for transparency control."
What is the Document Object Model (DOM)?,It is a programming interface that represents a web page as a tree structure of objects (nodes) that JavaScript can manipulate.
How does the `==` operator differ from the `===` operator in JavaScript?,"The `==` operator compares values with type conversion, while `===` compares both value and data type strictly."
What is a JavaScript array?,An array is a dynamic data structure used to store multiple values in a single variable using indexed positions.
How can an array be declared using the constructor method in JavaScript?,It is declared using the `new Array()` syntax.
What are entity references used for in HTML?,They are special codes (like `&lt;`) used to represent reserved characters that have special meaning in HTML.
How are character references written in HTML?,"They are written using numeric codes, either in decimal (e.g., `&#60;`) or hexadecimal format."
